NAME,TYPE,RELIGIOUS,FREEDOM FROM TRANS IDEOLOGY,STATE,NOTES,WEBSITE
George Mason University,Public,No,Poor,VIRGINIA,"""LGBTQ+ Resources Center"" offers a video guide to adding ""Chosen Name"" to online classes; ""Trans Clothing Closet Resource"" gives free binders and ""clothes to help them express their gender""; celebrates Transgender Awareness Week (TAW); Transgender Day of Remembrance (TDOR) ; provides a guide to Pronouns; promotes ""TQ Mason""; a trans student group; ""Gender Inclusive Restrooms"" are listed; has a page on ""Self-Care Resources for Trans and Non-Binary Folks""; and ""Resources for Allies to Trans and Non-Binary Folks"" teaches ""cisgender"" people how to treat ""transgender"" people correctly.",gmu.edu
George Washington University,Private,No,Poor,VIRGINIA,"""Trans @ GW"" page lists info on ""Name; Gender Identity; Pronouns; and Legal Name; and Sex Changes""; Gender Inclusive Housing; ""All-Person Bathrooms""; ""LGBTQIA+ Healthcare""; stating; ""GW Student Health Insurance coverage for transgender students is extensive and comprehensive. GW continues to do all we can to serve the needs of transgender students; especially around physical and mental health. "" ",gwu.edu
James Madison University,Public,No,Poor,VIRGINIA,"Support offered through the ""Sexual Orientation; Gender Identity & Expression Programming"" which offers a ""Trans @ JMU"" page listing a guide to how to access ""Hormone Replacement Therapy (HRT)""; affirming counsellors; and a ""Being Yourself at JMU"" with info on ""Gender Neutral Housing""; Name Change; Personal Pronouns; Coming Out to Faculty/Staff; Gender Neutral Restrooms; University Recreation Center (UREC) and Sexual Orientation; Gender Identity and Expression""",jmu.edu
University of Virginia,Public,No,Poor,VIRGINIA,"Student Health and Wellness offers a ""Gender-Affirming Care"" page detailing ""Services for Transgender; Non-binary; and Gender-Diverse Students""; follows WPATH; stating; ""We would like all transgender; non-binary; and gender diverse students to feel like they have a home at SHW. Our goal is to create space for students to explore their identity; and to help students access medical and/or psychological care; as well as community and academic resources. "" ""LGBTQ Center"" also offers ""Trans & Gender-Diverse Resources"" page with info on ""Name and Gender Updates/Changes""; Housing; Facility Access; and Healthcare Services; and promotes a ""Trans/GNC Group"" and ""Sigma Omicron Rho (Queer & Allied Gender-Inclusive Fraternity)""",virginia.edu
Virginia Commonwealth University,Public,No,Poor,VIRGINIA,"University Counseling Services offers a ""Gender Identity"" stating; ""Nonbinary and transgender students are a vibrant and valued part of the VCU community. "" Lists ""Affirming Services at UCS"" including affirming counselling; ""Clinicians who specialize in working with nonbinary and trans individuals""; access to ""letter for affirming surgeries or hormone therapy (HT)""; resources such as ""VCU Libraries Transgender Health Guide""; ""VCU Gender Inclusive Bathroom Map""; ""VCU Queer and Trans Social Workers""; and a guide to change ""name/name of use; gender/gender identity and pronouns"" within the school under an initiative; ""Call Me By My Name""; school offers a ""Gender: Beyond the Binary (S946)"" 90-minute seminar through IExcel Education",vcu.edu
Washington and Lee University,Private,No,Poor,VIRGINIA,"""Trans(itioning) at W&L"" is a ""Guide for Transgender and Nonbinary Students"" offered by the "" LGBTQ Resource Center""; provides a glossary of terms; preferred name; changing one's name in W&L records; changing one's gender marker in W&L records; or how to change legal name and/or gender marker on government-issued documents; a guide on ""Pronouns and Why They Matter""; Safe Zone; ""All Genders Restroom Initiative""; and a ""Confidential Support Group"" for ""gender and sexuality"".",wlu.edu
University of Washington,Public,No,Poor,WASHINGTON,Provides services such as routine preventative and primary healthcare; hormone replacement therapy; mental health counseling; and letters for medical procedures. The QCenter is set to introduce resources like binders and packers in winter 2024. Gender-inclusive housing can be requested in the housing application. The QCenter offers various programs; including discussions on gender topics and access to a library with LGBTQ+ resources. Gender-neutral bathrooms are advertised. Students may update their chosen name through a self-service portal.,washington.edu
Washington State University,Public,No,Poor,WASHINGTON,"All counselors are equipped to provide gender therapy; also hosts the ""Transcend gender diversity support group"". The Counseling Health Services (CHS) offers gender-affirming care; including hormone therapy; which can be accessed by making an appointment without requiring prior gender therapy. WSU provides gender-inclusive housing; with Mc Croskey Hall designated for an LGBTQIA+ Living Learning Community; along with gender-inclusive floors in other residence halls. The LGBTQ+ Center facilitates events and has several student organizations; and focus on promoting gender neutral restrooms. Students can change their chosen name via a self-service portal.",wsu.edu
American University,Private,Yes,Poor,WASHINGTON D.C.,Offers gender-related hormone interventions through its UHS.,american.edu
Georgetown University,Private,Yes,Poor,WASHINGTON D.C.,"""Gender-inclusive"" housing and restrooms; helps students find and obtain ""gender-affirming"" medicine.",georgetown.edu
Howard University,Private,No,Poor,WASHINGTON D.C.,"""Gender-inclusive"" housing; elected its first transgender Student Body President in Spring 2024.",howard.edu
West Virginia University,Public,No,Poor,WEST VIRGINIA,Provides extensive support for transgender students; including gender-affirming care services through the Carruth Center for Counseling and Psychological Services; offers hormone therapy; voice therapy; and assists with name and gender marker changes; trans-focused workshops and support groups.,wvu.edu
Marquette University,Private,Yes,Poor,WISCONSIN,"Has dedicated ""LGBTQ+ Resource Center""; offers Gender & Sexuality Studies program.",marquette.edu
University of Wisconsin Eau Clair,Public,No,Poor,WISCONSIN,Gender-inclusive housing; offers Rainbow Floor in regular dorms; offers comprehensive Trans at UWEC resource list.,uwec.edu
University of Wisconsin Madison,Public,No,Poor,WISCONSIN,Has inclusive facilities policy; offers courses related to gender and gender identity; UHS has dedicated page for Trans and Gender Diverse Health.,wisc.edu
University of Wisconsin Milwaukee,Public,No,Poor,WISCONSIN,Provides gender-affirming counseling and hormone therapy; LGBTQ+ Resource Center has dedicated transgender page.,uwm.edu
University of Wyoming,Public,No,Moderate,WYOMING,"Offers ""The Gender Unicorn"" as a valid resource; has ""School of Culture; Gender & Social Justice"" incl. a minor in ""Queer Studies""; appears somewhat siloed.",uwyo.edu
Wyoming Catholic College,Private,Yes,Excellent,WYOMING,"No prominent search results related to gender; one podcast on ""transgenderism... as man's gnostic temptation to break limits meets today's digital technology.""",https://wyomingcatholic.edu/
